,text,label,explanation
27,"Yes, now I wish that something had improved a little, but then now I had panic attack, it happened first time, I don't know why.",1,The person is showing clear sign of depression such as panic attack
28,"Like me, 2-3 days ago I had some such feeling in fever type, like body breakdown and then I, getting cold was from some of this type, then after that, I got better then I went for bath like So me, I take a bath with cold water, so now I started taking a hot bath, then I poured cold water, then after that I suddenly got very nervous.",1,"The person is showing clear sign of depression such as panic attack, and anxiety"
29,"Yes, after that again I started this cycle that means that I will be again now, it will happen again, then I feel negative even in normal sitting like this and I feel like I am stuck here I'm gone like nothing has so many negative feelings",1,The person is giving an introduction
30,"Even if it is said about the job, I feel",0,i
31,"I just keep hearing that I don't do job, don't do this, don't do that.",2,w/f
32,"It is preferred only with family members, with other others or with those who have one or two friends, and not others.",0,i
33,I have only one friend.,0,i
34,"Yes, that's the problem, there's the investment problem.",0,i
35,"Actually, he needs a lot of money for that, for that reason, it is getting delayed a bit till now.",0,i
36,"If the cell is going on as of now, then at that time itself, I have to go.",0,i
37,"Just like now, when the festival is over, there was more work on the festival, now that the festival is over, then sales are decreasing, so less delivery has to be made.",0,i
38,Sir Thoughts Earlier there were such thoughts that something good has to be done.,0,i
39,"Tomorrow my mind is fine, but my mind is little.",2,c
40,Yes it is a bit sad and I force myself in the same way.,1,The person is showing clear signs of depression such as sadness of mood
41,"No, I do not want to be happy, but I am not happy as I was happy a few years ago, what was the tension in my mind, so I used to be happy even then, let's remove the tension.",1,The person is showing clear signs of depression such as sadness of mood
42,Sir this problem is going to happen to me at least.,2,c
43,"Sir 3 years ago nothing like this happened to me, I remember even today that night we ate well, was very happy, I don't know dream from a DM.",0,i
44,"As I go, I forget what I was doing, I feel that it will go on and on.",1,The person is showing clear sign of depression such as poor memory
45,Sleep comes to me in the night like I take medicines etc.,1,The person is showing clear sign of depression such as trouble with sleep
46,"Means I have poor sleep in this sense of intoxication, but sleep is not very good as it will continue, but sleep will come at night.",1,The person is showing clear sign of depression such as trouble with sleep
47,Hunger is more than normal.,1,The person is showing clear sign of depression such as change in appetite
48,I do not know either it is possible that recovery is happening after pregnancy means I do not know.,2,c
49,"Because as my pregnancy was going on, I had to mean deworming pregnancy, after that I had gall bladder problem, gall bladder surgery etc. I was going to visit the hospital.",0,i
50,"At first it was feeling good, then the baby was gone, that means everything was fine at home, then the baby also got jaundice, so I felt that I had gone to the hospital after circling.",0,i
51,yes it was coming till now sir,0,i
52,I want to do not say to leave the job.,0,i
53,"I am only worried about the future, I am thinking of advance in Maine. Doctor: I am optimistic that the future will also go into darkness.",1,The person is showing clear sign of depression such as negative thoughts
54,"I do not understand the future, what will happen, I feel right here.",1,The person is showing clear sign of depression such as negative thoughts
55,"I am not seeing the light, if I was seeing the light then why would I have come here.",1,The person is showing clear sign of depression such as negative thoughts
56,"The child felt to me right here that when I had to do it again, it meant that I should die in another moment because I took drugs again.",1,The person is showing clear sign of depression such as negative thoughts and sucidal thoughts
57,"Yes, I am driving, I am eldest at home.",0,i
58,I have studied till 5th.,0,i
59,"Because at the age of 12, I had lost this job, at the age of 12, the responsibility of work had come on me.",0,i
60,Sir papa did not work.,0,i
61,Drinks were drunk.,0,i
62,"Yes, we explain a lot to them but they do not believe.",0,i
63,"Sir, that really mind got out of my little bit, though sir was fine.",2,c
64,"This is what happened, Sir, I think more, Sir, what am I really.",2,c
65,"Sir, I have taken tension from the beginning.",1,The person is showing clear sign of depression such as high level of stress
66,"I have been taking tension since the age of 12, at the age of 8 years 10 years, everything got a little problem in mentality but now I think of such things.",1,The person is showing clear sign of depression such as high level of stress
67,"That I should also die, I should kill these children too, I think like this many times because I feel that there is a world which is very smart today and there is a lot of competition in everything and I think yes I want I am that my children can be able to face like this, so much to me, I feel that what are parents for that they can help the children and show the way to the children, I have not found the way yet.",1,"The person is showing clear signs of depression such as post-partum depression, stress, suicidal thoughts"
68,I think I have faith in me but my faith keeps on decreasing.,1,The person is showing clear signs of depression such as hopelessness
69,reduced due to circumstance.,0,i
70,I want to but want a life of my own kind.,0,i
71,"I never want this because my children get the love of their parents, grandparents, whatever it is, children learn a lot by all means ever.",0,i
72,No means the atmosphere is good but there maybe things are not very fast like fast and fast and everything has become so slow,0,i
73,"This was just 2 months ago, 2-3 months ago.",0,i
74,"At that time I had a fight with my wife, so I had hit the wall like this.",2,w/f
75,So there was swelling in my hand.,0,i
76,"No at home, yes they were but later they came to know.",0,i
77,"Yes, there is no fight, just where I have heard, but it is the same, I have made a habit of listening, like people also say that even if they say about the job, even then I feel.",0,i
78,"I just keep hearing that I don't do job, don't do this, don't do that.",2,w/f
79,"In the head, then in the homosexual.",0,i
80,"Yes sir, I just wanted to have sex with a girl a week ago.",0,i
81,"But what happened sir, the plan could not be made, after that I saw a video on youtube to find out what it is.",0,i
82,"Why do these things go on in my mind at once, so sir I saw a boy was very upset, I didn't even expect him that a boy can only be attracted to a boy, that means if I watch that video, then from that video Got attracted, I said this man.",0,i
83,I actually have sadness.,1,The person is showing clear sign of depression such as sadness
84,"No, it must have been over 10 years.",0,i
85,"Yes, then I thought in 10-11 that I would consult a doctor.",2,c
86,"Yes, my medicine is going on.",2,h
87,"Still, there is still sadness, I have social anxiety, which means I am unable to face the places where there are more people.",1,"The Person is showing clear signs of depression such as anxiety, and sadness"
88,Then why does this come to mind?,0,i
89,"No. No, the people of the world are not speaking.",0,i
90,Friend man does not understand my words as said by friend.,0,i
91,"As friends of school time, sit well with our friend, such that it has nothing to do with it, it has nothing to do with it, behave as if they said that this boy was fine before, now it is like that.",0,i
92,"Yes it is said that Sir has not spoken to me, I have spoken to whomever happened in front.",0,i
93,"As if someone happened in front of him, he has told them.",0,i
94,"No sir, it's not that, sir, I saw a dream like this, neither was such a friend, I must have said it jokingly or how you might have said it.",0,i
95,"Laughing jokingly said that his actions were a bit like this, then he used to make his actions a little inverted, then one day he said that brother, if your actions are like this, then you will have the dreams of boys.",0,i
96,"So just when I had such a dream, I put that in my mind.",0,i
97,"I live with children, I spend a little time laughing, then I get sad, mother says look at the children, look at the children",1,The person is showing clear sign of depression such as sadness
98,"As I have become sad with myself, I mean Hanji.",1,The person is showing clear sign of depression such as sadness
99,I tried to commit suicide once.,1,The person is showing clear signs of depression such as suicidal thoughts
100,At that time I tried to hang myself.,1,The person is showing clear signs of depression such as suicidal thoughts
101,"I hugged it till the neck, the fact is, there was a fight between me and my husband, right, so he, he had a misunderstanding.",2,w/f
102,"No-no, at first thoughts were going on, that day for the first time a thought came in my mind that I would die.",1,The person is showing clear signs of depression such as suicidal thoughts
103,"Yes, it was done on the same day.",0,i
104,"I was not thinking, I got very angry.",1,The person is showing clear signs of depression such as anger
105,"When I got angry, I called him, he disconnected the phone, I called from him and I told him in anger that you and your family go to hell, okay now I am dying, now I need you and your family Doesn't mean anything.",2,w/f
106,"Much less than before, earlier I was thinner than I used to like to work a lot, now I don't work as much, I am tired, tired of climbing stairs, sweating, short of breath Yes, I can't work much.",1,The person is showing clear signs of depression such as fatigue
107,"Sir, my family has said so much that son, stay there for the number of days, the mind is sad, there is no desire to stay, you tell me, call me, we will come, we will bring you, you have to stay here. You will stay there for a few months, your time will run out, but don't take tension.",2,h
108,"Sir, I am nothing, absolutely blank, nothing is understanding me, what is happening with me, is it okay?",2,c
109,"I live with children, I laugh, spend a little time, then I get sad.",1,The person is showing clear sign of depression such as sadness
110,"I actually have a lot of space, already where I am living, then some place has been fixed in such a way that wherever I go, I mean depression and mean nervousness, I start getting there, means if I go to new place So I still get my thinking there, but now I feel sad in the old place.",1,"The person is showing clear signs of depression, such as sadness"
111,"No means in the house, around the house as I rarely go out of the house.",0,i
112,"Just as we have it in the market, even if I am standing in the market, I still feel sad.",1,"The person is showing clear signs of depression, such as sadness"
113,"Because I have an old history, at the time when I used to be more sad, then I am connected to those places.",1,"The person is showing clear signs of depression, such as sadness"
114,"No, if I think like this, nothing automatically comes in my mind, just that.",1,"The person is showing clear signs of depression, such as brain fog"
115,"Sir, I have a fight with my husband, on what does he support his family.",2,w/f
116,"I say that this is wrong, they were doing this with me, they understand that yes it is wrong with you, but they cannot leave them, because they are the ones who earn, brother-in-law does not earn, father-in-law does not earn, And from above he does not have a wife, anyone will tell us that we do not take care of him.",2,w/f
117,"Will be 26,27,28 years.",0,i
118,"Sir, this is also their shortcoming, sir, it means that they are one or the feet should be spread by spreading the sheet according to the status, it is not right, it means that they do work by taking loan, took a loan of 5 lakh 6 lakh, first work Done, after that they keep filling slowly, I even told them not to do such a private job, today is not tomorrow, then what will we do, yours.",0,i
119,"Sir, I want to get a house built, my sister got married, she had spent 10-12 lakh rupees, she did all the work, father-in-law does not earn, there is no further means.",0,i
120,And panic started.,1,"The person is showing clear signs of depression, such as panic"
121,"No, there has been some improvement now, but now I am really thinking of doing something.",2,c
122,"It is now, I am trying a little bit now.",2,c
123,"I am not completely confident, but I am thinking that it has been so much time now, whatever it is, everyone keeps saying it too.",2,c
124,Don't even want to be dependent.,0,i
125,"Father mother is wife, there is a baby.",0,i
126,"There are sisters, she is married.",0,i
127,The marriage took place in 2014.,0,i
128,"Yes, Father has just retired.",0,i
129,"He is working now, teaching.",0,i
130,Now she works in private school.,0,i
131,"Actually, I had not told anyone before, I came here, even then I did not tell that I have depression or anything like that, and I have not told my wife till the last that I am from depression.",2,h
132,"Not that, I did not tell, Father Mother knows that other family members have told.",2,h
133,"Yes no, he knows that I was just nervous so that's why I",1,"The person is showing clear signs of depression, such as nervousness"
134,"Yes, it means that something or the other goes on in the mind, and some small thing means something smaller than that, I keep thinking about that thing.",1,"The person is showing clear signs of depression, such as overthinking"
135,"If something happens to me that seems smaller, I keep thinking about that too.",1,"The person is showing clear signs of depression, such as overthinking"
136,"That I have to solve it, now I keep small things in my mind.",2,c
137,"Yes, I get angry quite often.",1,"The person is showing clear signs of depression, such as anger issues"
138,"Yes, once or twice in school means in college and if I get angry like this, then I hit my hand against the wall.",1,"The person is showing clear signs of depression, such as anger issues"
139,I have come for the first time.,0,i
140,"It is said that when I tell what I should do, he says whatever is there, he does not listen, he does not listen, for him it means in a way, he is not ready to understand anything at all.",2,w/f
141,"There are only two, he does not bring them, there is no problem in the house.",0,i
142,"No sir, there is a village atmosphere, they do not go to the village, daughters-in-law do not go out in the village, I do not know anything about farming in my village, I know this at home.",0,i
143,"Sir, I wear both saree suits, I don't have any problem with it.",0,i
144,"No sir, I have no problem, I put on suit saree means everything, I don't have it.",0,i
145,"Sir if I have sleep then it is ok, if it is 9 o'clock like I go to sleep at 9 o'clock, then slept at 9 o'clock then it is okay if 20 minutes is up, half an hour is up, then after that I I do not sleep, sometimes it happens that I will sleep at 12 o'clock, sometimes at 2 o'clock, sometimes at 3 o'clock, sometimes I will never come, sometimes I will sleep for an hour.",1,"The person is showing clear signs of depression, such as trouble with sleep"
146,"Hanji, breaks down many times and then can't sleep.",1,"The person is showing clear signs of depression, such as trouble with sleep"
147,"Yes, it was coming till now sir means yes.",2,c
148,"I think that I do not want that how I feel that I have to lie on the bed, I do not want to have such fun, I have been taking it on the bed and or I want to die.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
149,"If I want to do this, then I can die easily, I do not want to do it like this.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
150,"I don't have that much courage for the second time sir, I can't do it.",2,c
151,"I love children, but I mean that many times it seems as if I should not have had a second baby, the first one was going well, such thoughts come.",1,"The person is showing clear signs of depression, such as overthinking"
152,"No, but I think in such a way that I should kill these children too, I think like this many times because I think that Joe.",1,"The person is showing clear signs of depression, such as postpartum depression, suicidal and homicidal thoughts"
153,Will be almost my age.,0,i
154,No - no was not an old man.,0,i
155,"Feeling nothing happened to my head, just a fear sat inside me because my life style is like this, I have seen such a way, Sir, I have met many such closed means.",1,"The person is showing clear signs of depression, such as fear"
156,"In this type I have met such people, I think this thing, I think that I should not be like them in my mind, there is a fear in my mind.",2,"The person is showing clear signs of depression, such as fear"
157,Sir I am scared.,2,c
158,Sir just scared.,2,c
159,"Trouble means workload, and those who are senior officers who are SHOs, they do not do corporates.",2,w/f
160,"Together we give three-three four-four tasks, that you do this work, one has to be present in the line order duty, the other has to be done in the ministry, you will go by giving the file at 5 o'clock in the evening, if If present in line order then how to work in file.",2,w/f
161,"These bosses who have come now, do not listen, the workload is there in the police from the very beginning.",2,w/f
162,"But what is a little bit, the bosses who were earlier till now fortunately, they used to corporate that line order is in duty, Sir, I am here but I am going to pick up whatever is there, I will come, if you call, then He used to contemplate.",2,w/f
163,"Now they say that no, this will remain, and file in the evening, why did it not work.",2,w/f
164,"Yes, so where I was present there with you in my head, I said, I do not know, do the work and do it.",2,w/f
165,Some people are getting transferred.,0,i
166,"Yes, I have transferred absolutely strength, do not document this thing.",2,w/f
167,"I have done Sir at the age of 18,19,20 years at the age of 21.",0,i
168,"Yes, he was from Delhi.",0,i
169,Now I join hands in the same way.,0,i
170,"Sir, I want that I am living in fear.",1,"The person is showing clear signs of depression, such as fear"
171,"Fear means that fear is here that either there is brahm or there is only fear in me sir, there is nothing like that, I am telling you sir, just got scared.",1,"The person is showing clear signs of depression, such as fear"
172,"Due to fear, there is such panic in the head, the restlessness increases a lot, the fear remains, it is only here.",1,"The person is showing clear signs of depression, such as fear, panic, restlessness"
173,"The mind to work Sir used to work very well a month ago from today, then nothing remained in the mind Laughing - Khushi Phool Joke.",2,c
174,"Yes no, he knows that I was just nervous, so because of this I have come, he does not know that I am undergoing treatment from a psychiatrist.",1,"The person is showing clear signs of depression, such as nervousness, and patient is undergoing treatment from psychiatrist"
175,"Ok relation but, I think maybe if I had done a little job etc., more relation would have been better.",2,c
176,"Hmm it's a bit much, that's me there is a problem in that.",0,i
177,"No, there is interest but that is a pre-mature problem.",0,i
178,"It was again meant that I should die in another moment because I did not say in taking drugs again that the child, which meant that the child should be right, that's why I stopped.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
179,I love that my heart does with the baby.,0,i
180,"No, the elder daughter has become a bit stubborn.",0,i
181,"Yes, because I feel myself responsible for his behavior even for him.",2,w/f
182,"Sir, that is the only thing, who can do it for how long, even in that sense, he can't even say that he is wrong.",2,c
183,"No, she doesn't speak that much earlier, she used to speak, now she doesn't speak.",2,c
184,": Nothing happened, I was working completely, the suit was sealing, at that time I started feeling like this, which is not afraid, I was nothing normally when I was in the maternal house at that time, so there was no tension. It didn't matter, I just kept thinking.",1,"The person is showing clear signs of depression, such as overthinking and panic"
185,No sir I have shown earlier in Kurukshetra.,0,i
186,"Yes, I am telling that when I started feeling scared, then from there I took me to the doctor of the heart that it has some problem with the heart, it is feeling scared, then went there and told him. Diya is depression, it is nothing else, there is no such floor which is made, then the sound of this machine comes, I started screaming, started screaming a lot, then I was given injection, then I slept, oxygen was given , I was having trouble in breathing, then it did not get better after that, then took me to another doctor, then used to give sleeping medicines, I became normal, then gradually this problem happened again.",1,"The person is showing clear signs of depression, such as anxiety and panic attack"
187,"Sleep is not good now sir, I have just taken ravet pill for sleep.",1,"The person is showing clear signs of depression, such as trouble with sleep"
188,Hunger was very good before this sir but now 4-5 days hunger is like this sir it is over.,1,"The person is showing clear signs of depression, such as trouble with appetite"
189,"Mind ever since these things have been going on in the head, the mind remains strange.",1,"The person is showing clear signs of depression, such as overthinking, brainfog"
190,It runs in the mind that when will the happiness that was there before.,1,"The person is showing clear signs of depression, such as sadness and overthinking"
191,That means I didn't understand.,0,i
192,no i don't sir,0,i
193,I have done 6 -7 times I mean that I have sex sir,0,i
194,"I am 24,25 years old.",0,i
195,"The dream came here, Sir, something is happening to me as well, which means that I am a relative.",0,i
196,"Yes, Sir, I am doing Sapna with a girl in such a way or as someone does with a girl.",0,i
197,"When such a thought came in my mind, then I did.",0,i
198,"No - No, it was not a girl, it was a boy, that's why the top is happening only then.",0,i
199,It will not be even two minutes from the head.,0,i
200,"I closed my eyes and suddenly came with the opposite thought, then suddenly I woke up, when I woke up, my chest just like a bass does not play that type of bass.",1,"The person is showing clear signs of depression, such as panic"
201,So life has been a bit since then.,2,c
202,"No sir, yes it means now that for 2-3 months I had fought to give me money, to feed my children.",2,w/f
203,"2 thousand, if I ask, he gives himself, so it is not that yes, I say that give a couple thousand, it will be done, if it ends then I will ask for it.",0,i
204,"Sir my brother-in-law brings, he is also tortured to such an extent that if I ask for vegetables, he will not bring them.",0,i
205,"Sir, you cannot keep it with you because there is no one there to feed them.",0,i
206,"Anyone would say that the son went away with his wife, left them.",0,i
207,"Sir, now tell me who can eat one vegetable for one and a half months, who can eat only one type of vegetable, it is not eaten by me, I am not from such a family that I can eat the same thing again and again, even if He can do it, even if he asks for something, he does not bring it to eat.",0,i
208,They know everything.,0,i
209,"No, there is one brother.",0,i
210,"No, I'm small, I'm the youngest.",0,i
211,"Right now the job was of phone selling, means booking the phone and going to other stores to find out, like rates, etc., then selling where there is benefit.",0,i
212,No there is no fix.,0,i
213,"Yes, I like the meaning of traveling only a little job",0,i
214,"Now I want to shop, I want to shop for automobile.",0,i
215,"Like I did not know that he too has this disease, but it is not a disease, now I went to number 23, I told this to those madams also, then those madams also said here that this is not a disease.",0,i
216,So just here in my head I used to think that there is a disease.,0,i
217,"Sir, most of the interest has been to girls till date, but like I am telling, there is a field, I will tell you in the friend of sitting in boys, what is this sir, I have never been in tension, always nervous, restless, Tension is all this, sometimes about something about the house, then I take small things on your mind, then like family, as many friends and friends are sitting, then things go on in them sometimes like this.",2,w/f
218,"That this boy was fine earlier, now man has become sweet, then these thoughts came to me, man, we can be like this.",2,c
219,Sleep is not good now sir I have sleep now sir,1,"The person is showing clear signs of depression, such as trouble with sleep"
220,"On the phone, used to tell in the phone, then they used to scold, I used to disconnect the phone, then they used to scold me, why are you disconnecting the phone, this is it, I used to cry all night, then woke up at 4 in the morning, I used to get involved in work, then this drama used to happen at night and then during the day, which means that for 6 months, I continued like this even for one day.",2,w/f
221,"After that I started feeling sad, after 6 months only those things used to go on in my mind, I used to kill him, I didn't do anything but it kept going on in my mind that he did this to me, God did this to him. Will do, still this still goes on in me, when it comes to his words, it goes on in me that he did this to me, God will do the same to him.",1,"The person is showing clear signs of depression, such as sadness and overthinking"
222,"I had a daughter when I was pregnant, that means after how many 10-11 months I got pregnant, then gradually my memory started to change, I started forgetting things, so I thought maybe I was pregnant, because of this mistake I have lived, then I told the doctors, I was pregnant, when I used to go to them, I used to tell them mem I am forgetting, I do not remember anything, saying that you don't take tension, don't take too much tension, that's why this is happening Yes, it was not that I was having some such mental problem inside me, I was not even then, I used to think that I used to say the same things to anyone throughout the day, that they do with me like this with me, by the way, mom Used to say that most do not tell their things, but there was enough in me that I should not tell everyone, if someone listens to me, then slowly a girl was born, then to some extent the meaning of the house.",1,"The person is showing clear signs of depression, such as stress, poor memory and sadness
"
223,"It did not improve, after that gradually the sister-in-law got married, after that when my babu was pregnant, we slept one day at night, my breath stopped at once, my breath, hands and feet 7 months Ka Tha Babu, then it happened like this with me breathing stopped, then when after its birth, 5 months later this happened in the morning time, I started feeling scared and scared around 11 o'clock.",1,"The person is showing clear signs of depression, such as panic attack"
224,"I feel sadness from within, that means no one feels that there is some happiness, I am happy in any work like this.",1,"The person is showing clear signs of depression, such as sadness"
225,"If I am out of the house for work or getting some work done, if I have gone out for some work then I get these feelings.",2,c
226,"Yes, not that much happens at that time.",2,c
227,"No it's nothing like that, I was already staying at home for a long time, so I was living at home again.",0,i
228,"The grandmother did not even know how to count, she is saying 4 samosas, then I ate one and a half samosas and fed one and a half samosas to her sister-in-law, after that, after 2 days, my sister-in-law is telling me that in the earlier times, there are no girls like this. Used to keep something similar somewhere and after that, if someone ate it, she would say that she is greedy, it is like that, now in my mind.",2,w/f
229,"Fighting absolutely because there was no such husband in my house, father-in-law does not speak to me, if he was right then this would not have happened to me.",2,w/f
230,If he scolded his son to his daughter then this would not have happened.,2,w/f
231,"Yes, for dowry.",2,w/f
232,"This equal for dowry is so small, this equal is such, this is such, that is such a while.",2,w/f
233,"Hanji-Hanji, means that sometimes I live a life of peace, that means a life of peace even one day in 6 months.",0,i
234,"Hanji, my husband used to say that you are lying, it is like that.",2,w/f
235,"They also did not believe, they used to do this during the day, if I used to tell them at night, they used to scold them.",2,w/f
236,"On the phone, on the phone.",0,i
237,"No, I mean I used to feel very lazy, I used to be lazy enough, used to sleep like that even during the day, some of that type.",1,"The person is showing clear signs of depression, such as laziness"
238,"The sleep pattern has improved a bit now, earlier I used to sleep at 3-4 o'clock in the night, even then I could not sleep, and I used to sleep during the day.",1,"The person is showing clear signs of depression, such as trouble with sleep"
239,"Yes, it's okay now a little, for a while now, a lot before.",1,"The person is showing clear signs of depression, such as trouble with sleep"
240,"Yes, disturb sleep.",1,"The person is showing clear signs of depression, such as trouble with sleep"
241,Hunger is fine.,0,i
242,I don't even get up in the morning,2,c
243,"Sir, my appetite has also reduced a lot.",1,"The person is showing clear signs of depression, such as trouble with appetite"
244,"Hanji, it is a fact that if you get the food of your desire, then you should also want to eat, it is okay, she slowly eats the medicine of hunger, I have tried to eat when I am hungry, now the same thing will start bringing greens, then 6 months One and a half month will bring greens, potato will bring cabbage, then one and a half month potato will bring cabbage, O brings such food, even if I ask for it today, I have not got it.",2,c
245,"No, I came here and I was feeling gas type, so I told them that I am not feeling hungry, I am having trouble, I am not able to digest anything, so they had brought medicines, so they If I am eating, I am feeling hungry.",0,i
246,"Hanji, very angry, this is the first time I have spoken abusively to my husband.",1,"The person is showing clear signs of depression, such as anger issues"
247,": Yes, I feel very bad.",2,c
248,"No - No, I'm fine normally, nothing like that, I'm just.",0,i
249,No-no I'm not afraid.,0,i
250,"Sir, it is nothing like that, I do not have such feelings with anyone.",0,i
251,Sir my mind wanders like this ever since I saw that video.,0,i
252,"Sir sleep, look sir, now I am telling you that, 4-5 days before this means take a month, I was feeling very hungry, was eating good food, was sleeping well but the matter was in my mind.",2,c
253,"I used to stay here in my mind that I should not be like them, man, I should not be like them, this thing was eating me.",2,w/f
254,This is here sir today i have come here to get the solution sir hospital sir since 3 years so sir,2,h
255,"Sir, I don't have feelings inside me, fear is empty in me that I know what I used to think, I will tell you that there is some disease from Sir.",1,"The person is showing clear signs of depression, such as loss of emotions and fear"
256,"There is a sister at home, I have three children.",0,i
257,My daughter is in class 10th.,0,i
258,My son is in 7th and 2nd.,0,i
259,Brother is three elder than me.,0,i
260,I am the youngest and fourth.,0,i
261,I have two sisters.,0,i
262,The child is the door.,0,i
263,"There used to be tension in the head, such pressure was created, I could not sleep and it meant that I was talking to someone.",1,"The person is showing clear signs of depression, such as trouble with sleep and stress"
264,"Yes, that too I had taken clear in illness.",2,c
265,"Yes, he never refused.",0,i
266,"It's good, very good.",0,i
267,is very good.,0,i
268,"In Keet, I feel that now the meaning inside me feels like the one who is my mother in law, she does so much work.",0,i
269,"Hey no, she was so educated and wrote that she is better than me. Meaning.",0,i
270,"I meant it to me, it is still happening like this is the codination problem and as I go, I forget what I was doing, I feel it will go on and on.",1,"The person is showing clear signs of depression, such as poor memory"
271,"Like if something seems like that to me, no matter what happens, until I solve it, I do not feel that way.",2,c
272,"Yes, only after that I feel satisfaction, like I go to marriage etc., where the pay crowd is more, then I feel like people are watching me.",2,c
273,"I feel like, Sadness then don't know why, Confidence is not that much.",1,"The person is showing clear signs of depression, such as sadness"
274,"Now he does not go anywhere, earlier he used to go in the middle.",0,i
275,I feel lonely when I sit at home.,1,"The person is showing clear signs of depression, such as lonliness"
276,"That someone else should talk, son, you are working from home, you cannot disturb him too, because he.",2,w/f
277,"The younger one, his work from home is going on.",0,i
278,My mind is such that sometimes I am scared of happiness.,1,"The person is showing clear signs of depression, such as fear"
279,"If there is happiness then I feel that for how long this happiness will be there, if this happiness will not be taken away from me.",1,"The person is showing clear signs of depression, such as overthinking"
280,"Don't know sir, it's been around 10 months now",2,c
281,"In future, if there is mercy from the one above, then I think it will go well.",0,i
282,"When it was not there, I used to manage the rest I do I have",2,c
283,"No, as it is above, it is in it",0,i
284,"translation etc., this was the only job, and operating had to be done.",0,i
285,"Work is done here too, a little bit like this",0,i
286,"I'm going, I'm going, I'm going, all is well, and I'm upset, if someone talks, it seems that he is making fun of you.",2,w/f
287,"That he is joking, I will not talk about it.",0,i
288,"I will not talk about it, as someone tells his point, then later he enjoys like someone talks, this is like this, this is like this, this is what he does, he thinks, he does this Yes, in this way.",0,i
289,"Hmm, I do it at a slow pace, I keep slowing down, I keep doing it, things keep going on in my mind.",2,c
290,"Yes, it means that it should not be wrong, it is right, it should not be wrong, I will see it sometimes, I will check it.",2,c
291,"That it is correct, not correct.",0,i
292,"Sometimes mistakes are made, then they tell me long and wide.",2,c
293,"Those things feel to me, there is a lot of pressure on them, this is the place to be.",2,w/f
294,"Absolutely me, now I feel very much burdened myself.",2,w/f
295,I feel myself burdened,2,w/f
296,"A very small thing hurts me very deeply. The man speaks some normal thing and not for them which is a very small thing. That becomes a big deal for me.
I think about that thing too much.",1,"The person is showing clear signs of depression, such as overwhelming emotions"
297,I was also forbidden that you do not think but still mine.,2,c
298,I had a plan long ago that I have to finish myself.,0,i
299,Yes it seemed that this night would be my last night.,0,i
300,When I am sleeping or sitting alone.,2,c
301,"But when the mind increases, then the mind becomes light, then it does not feel like doing.",2,c
302,"Nothing, doesn't feel like sir, doesn't feel like doing anything.",1,"The person is showing clear signs of depression, such as loosing interest "
303,"Don't do it sir, don't mind.",2,c
304,Tax means to us but we don't.,2,c
305,"I don't mind, my health remains bad anyway.",2,c
306,"They don't kill, that means if someone else had lived, they would have left and ran away, since I got married, as soon as the second husband had been sick, he would have left and ran away, but no.",2,w/f
307,"There is a relationship, does not feel like making a relationship.",2,w/f
308,"Means, as the time is passing, Sir, as the health is deteriorating, I have been sick for 8 years, I do not feel like speaking like this.",2,w/f
309,"It does not look good sir, thinks that we should die, we should not live such a life.",2,w/f
